Event ,County ,District ,Division ,Date ,Place,Deaths ,Injured ,Missing ,Houses Destroyed ,Houses Damaged ,Victims ,Affected ,Relocated ,Evacuated ,Losses $USD ,Losses $Local ,Education centers ,Hospitals ,Damages in crops Ha. ,Lost Cattle ,Damages in roads Mts ,Comments,Responder: military ,Responder: police ,Responder: Red Cross ,Responder: MOSP ,Responder: Nairobi Fire Brigade ,Responder: KPLC ,Responder: UNICEF ,Responder: Saint John Ambulance ,Responder: IRC ,Other Responders ,House: Iron Sheet ,House: Wooden ,House: Mud ,House: Grass Thatched ,House: Tent ,Coordinate Info,County_GIS,Constituency_GIS,County Centriod
DROUGHT,KITUI,KITUI,CHULUNI,09/03/2011 12:00:00 AM,Kisasi,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.492775251, 38.05972316)",KITUI,KITUI EAST,"(-1.49103853075, 38.40692101580)"
DROUGHT,KITUI,KITUI,CHULUNI,01/05/2010 12:00:00 AM,NZANGATHI,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.492775251, 38.05972316)",KITUI,KITUI EAST,"(-1.49103853075, 38.40692101580)"
DROUGHT,KITUI,KITUI,CHULUNI,01/05/2010 12:00:00 AM,NZAMBANI,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.492775251, 38.05972316)",KITUI,KITUI EAST,"(-1.49103853075, 38.40692101580)"
DROUGHT,BUNGOMA,BUNGOMA EAST,CHWELE,01/04/2009 12:00:00 AM,"Lukhome, Chepsitat",,,,,,,1000,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.756997381, 34.60775741)",BUNGOMA,KANDUYI,"(0.74928523962, 34.64046087560)"
DROUGHT,GARISSA,GARISSA,DADAAB,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.083288677, 39.93719775)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
DROUGHT,GARISSA,GARISSA,DADAAB,04/26/2009 12:00:00 AM,Hagadera Village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.083288677, 39.93719775)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
DROUGHT,GARISSA,GARISSA,DADAAB,09/28/2009 12:00:00 AM,Alango Arba,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(0.083288677, 39.93719775)",GARISSA,BALAMBALA,"(-0.48891034483, 40.19927853780)"
DROUGHT,NAIROBI,NAIROBI,DAGORETTI,01/08/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.282377919, 36.75288101)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,NAIROBI,NAIROBI,DAGORETTI,01/07/2010 12:00:00 AM,Kawangware,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOK, AMIRAN",NA,NA,NA,NA,NA,"(-1.282377919, 36.75288101)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,NAIROBI,NAIROBI,DAGORETTI,01/07/2010 12:00:00 AM,Uthiru,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-1.282377919, 36.75288101)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,NAIROBI,NAIROBI,DAGORETTI,01/07/2010 12:00:00 AM,Ngando,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-1.282377919, 36.75288101)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,NAIROBI,NAIROBI,DAGORETTI,04/04/2013 12:00:00 AM,"Kilimani, Kawangware",1,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.282377919, 36.75288101)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,NAIROBI,NAIROBI,DAGORETTI,03/29/2013 12:00:00 AM,Kilimani kawangare(Nairobi river),1,,,,,,,,,0,0,,yes,,0,,Body retrieved and taken to Chiromo mortuary.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.282377919, 36.75288101)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,NAIROBI,NAIROBI,DAGORETTI,03/13/2013 12:00:00 AM,Kawangware,1,,,,,,,,,0,0,,yes,,0,,Body was retrieved and taken to Chiromo mortuary,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.282377919, 36.75288101)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
DROUGHT,MANDERA,MANDERA,DANDU,01/02/2009 12:00:00 AM,Istro village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(3.572367115, 39.94214932)",MANDERA,MANDERA SOUTH,"(3.43646948803, 40.73881016670)"
FLOOD,HOMA BAY,RACHUONYO,EAST KARACHUONYO,12/27/2009 12:00:00 AM,Rachuonyo,,,,,,,,,,0,0,,,,,,Infrastructure was destroyed,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
EPIDEMIC,HOMA BAY,RACHUONYO,EAST KARACHUONYO,01/01/2009 12:00:00 AM,Rachuonyo,5,,,,,,35,,,0,0,,Yes,,0,,Incidences of cholera were reported as from January to June 2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
DROUGHT,HOMA BAY,RACHUONYO,EAST KARACHUONYO,04/26/2009 12:00:00 AM,Kogweno Oriang - Kabollo Village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
DROUGHT,HOMA BAY,RACHUONYO,EAST KARACHUONYO,04/26/2009 12:00:00 AM,Sabolo Village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
DROUGHT,HOMA BAY,RACHUONYO,EAST KARACHUONYO,04/26/2009 12:00:00 AM,Obisa - Wire village,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
FLOOD,HOMA BAY,RACHUONYO,EAST KARACHUONYO,05/05/2010 12:00:00 AM,Rachuonyo North,,,,4,,,2234,,2234,0,0,,,,0,,Sondu Miriu River burst its banks,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
FLOOD,HOMA BAY,RACHUONYO,EAST KARACHUONYO,04/24/2006 12:00:00 AM,Kobala,,,,,,,16,,,0,0,,,120,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
FLOOD,HOMA BAY,RACHUONYO,EAST KARACHUONYO,04/24/2006 12:00:00 AM,Kobuya East,,,,,,,131,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.387554402, 34.79432787)",HOMA BAY,RANGWE,"(-0.54280939416, 34.35899686870)"
THUNDERSTORM,BARINGO,KOIBATEK,ELDAMA RAVINE,06/29/2011 12:00:00 AM,Chalaik Village,1,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.016759816, 35.7223953)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FOREST FIRE,BARINGO,KOIBATEK,ELDAMA RAVINE,03/21/2009 12:00:00 AM,Maji Mazuri,,,,,,,,,,0,0,,,1000,0,,Indigenous forest burned down,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.016759816, 35.7223953)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,10/28/2009 12:00:00 AM,Tarasaa,,,,230,,,400,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FOREST FIRE,BARINGO,KOIBATEK,ELDAMA RAVINE,03/25/2009 12:00:00 AM,Chemorgok Forest,,,,,,,,,,0,0,,,,0,,Indigenous forest burned down,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.016759816, 35.7223953)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
DROUGHT,WAJIR,Wajir North,ELDAS,09/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(2.427886763, 39.44414499)",WAJIR,WAJIR WEST,"(1.80813762380, 40.03498563960)"
FLOOD,MANDERA,MANDERA,ELWAK,10/28/2009 12:00:00 AM,,,,,300,2000,,10000,1500,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(2.857428782, 40.91477741)",MANDERA,MANDERA SOUTH,"(3.43646948803, 40.73881016670)"
DROUGHT,NAIROBI,NAIROBI,EMBAKASI,01/08/2009 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.276685459, 36.97258379)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
DROUGHT,NAIROBI,NAIROBI,EMBAKASI,01/08/2009 12:00:00 AM,Njiru,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.276685459, 36.97258379)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
FLOOD,NAIROBI,NAIROBI,EMBAKASI,04/05/2012 12:00:00 AM,Ruai,,,,,,,100,,,0,0,,,,0,,100 people were marooned with floods,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.276685459, 36.97258379)",NAIROBI,KAMUKUNJI,"(-1.29341347028, 36.86818926820)"
DROUGHT,VIHIGA,VIHIGA,EMUHAYA,01/03/2011 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.066491717, 34.64251154)",VIHIGA,HAMISI,"(0.07626579587, 34.72232303610)"
DROUGHT,VIHIGA,VIHIGA,EMUHAYA,03/02/2012 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.066491717, 34.64251154)",VIHIGA,HAMISI,"(0.07626579587, 34.72232303610)"
FLOOD,TRANS NZOIA,TRANS NZOIA WEST,ENDEBESS,03/09/2010 12:00:00 AM,Endebess,,,,150,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(1.148515109, 34.768847)",TRANS NZOIA,ENDEBESS,"(1.05095480862, 34.95741997750)"
FOREST FIRE,BARINGO,KOIBATEK,ESAGERI,03/21/2009 12:00:00 AM,Esageri,,,,,,,,,,0,0,,,1000,0,,Indigenous forest burned down,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-0.053838579, 35.80656418)",BARINGO,BARINGO CENTRAL,"(0.66925198032, 35.94646535270)"
FLOOD,MANDERA,MANDERA,FINO,02/16/2010 12:00:00 AM,"Arabia, Bulla Jamhuria",,,,,,,869,,,0,0,,,,0,,"110 toilets sunk, road networks were destroyed, dining hall & administration block at Arabia Girls Secondary both under construction were damaged, 2[...]",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(3.507333039, 41.40087781)",MANDERA,MANDERA SOUTH,"(3.43646948803, 40.73881016670)"
DROUGHT,EMBU,MBEERE,GACHOKA,01/08/2009 12:00:00 AM,Kiambere,,,,,,,,,,0,0,,Yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-0.682509152, 37.64769177)",EMBU,RUNYENJES,"(-0.60397437755, 37.62650132650)"
FLOOD,MARSABIT,MARSABIT,GADAMOJI,04/20/2010 12:00:00 AM,,2,,,120,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(2.386414834, 38.00359009)",MARSABIT,NORTH HORR,"(2.97865878652, 37.56953610880)"
FLOOD,TANA RIVER,TANA RIVER,GALORE,04/29/2010 12:00:00 AM,Tana river near Walden,,,,,,,11573,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-1.538862749, 39.54273779)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
DROUGHT,KILIFI,KILIFI,GANZE,01/03/2011 12:00:00 AM,,,,,,,,103631,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-3.548200024, 39.68698005)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
DROUGHT,KILIFI,KILIFI,GANZE,01/08/2009 12:00:00 AM,Ganze,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-3.548200024, 39.68698005)",KILIFI,KALOLENI,"(-3.17573201323, 39.68668755070)"
EPIDEMIC,ISIOLO,ISIOLO,GARBA TULLA,01/01/2009 12:00:00 AM,Garba Tulla,4,,,,,,1,,,0,0,,Yes,,0,,Incidences of cholera were reported as from January to June 2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.481853031, 38.53732635)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,GARBA TULLA,01/12/2009 12:00:00 AM,Kina-Garbatulla road,,,,,,,,,,0,0,,,,0,,"culvert destructed, broken water drainage",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.481853031, 38.53732635)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
DROUGHT,ISIOLO,ISIOLO,GARBA TULLA,01/03/2011 12:00:00 AM,,,,,,,,35000,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.481853031, 38.53732635)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
DROUGHT,ISIOLO,ISIOLO,GARBA TULLA,01/08/2009 12:00:00 AM,Garba Tulla,,,,,,,30000,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.481853031, 38.53732635)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,GARBA TULLA,06/04/2006 12:00:00 AM,"Soricho, Garfassa, Malkadaka, Merti",,,,,,,3200,,,0,0,,,,0,,Roads are impassable,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.481853031, 38.53732635)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,ISIOLO,ISIOLO,GARBA TULLA,04/03/2010 12:00:00 AM,Garfara,,,,200,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(0.481853031, 38.53732635)",ISIOLO,ISIOLO NORTH,"(1.01044307753, 38.54215312060)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,01/06/2008 12:00:00 AM,Hola - Garsen Road,,,,,,,,,,0,0,,,,0,,Hola - Garsen road has been destroyed and people and cars stranded,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,10/27/2006 12:00:00 AM,Hola - Garsen region,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,11/11/2008 12:00:00 AM,Ijara-Garsen Road,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,01/03/2012 12:00:00 AM,,,,,,,,,,,0,0,,,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Kiambeni,,,,172,,,915,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Tawakal,,,,107,,,678,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Kokan Farm,,,,112,,,711,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Eskedek,,,,60,,,455,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Ngumo,,,,39,,,212,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Miyesa,,,,136,,,876,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Mikameni,,,,86,,,762,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Umoja/ Minjila,,,,127,,,734,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Baomo,,,,138,,,1051,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/25/2010 12:00:00 AM,Choa,,,,82,,,548,,,0,0,,yes,,0,,People affected are located in the relocation camps,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOK,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Konemansa(Mwanja village),,,,142,,,,,,0,0,,yes,,0,,142 household were affected. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ministry of special programme,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Kipao (Ongonyo village),,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special programme,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Salama (Tawakal),,,,125,,,,,,0,0,,yes,,0,,125 Household were affected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special programme,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Salama (Kiembeni),,,,150,,,,,,0,0,,yes,,0,,150 household were affected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOH,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Salama (peponi),,,,79,,,,,,0,0,,yes,,0,,79 household were destroyed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (Bora Imani),,,,48,,,,,,0,0,,yes,,0,,48 household were affected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (Godhey),,,,110,,,,,,0,0,,yes,,0,,110 household were affected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (senangu),,,,160,,,,,,0,0,,yes,,0,,110 household were affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (chelwa),,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (Hada),,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (Eskadek),,,,86,,,,,,0,0,,yes,,0,,86 household affected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (Fejji),,,,48,,,,,,0,0,,yes,,0,,48 household affected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (Tulichani),,,,98,,,,,,0,0,,yes,,0,,98 household affected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina (Huluba),,,,112,,,,,,0,0,,yes,,0,,112 house hold affected.,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
FLOOD,TANA RIVER,TANA RIVER,GARSEN,05/30/2012 12:00:00 AM,Mwina-Hakani,,,,,,,,,,0,0,,yes,,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,"(-2.389469196, 39.59916346)",TANA RIVER,GALOLE,"(-1.52636660432, 39.41786920290)"
